well,row,col,area_px,diameter_px,major_d_px,minor_d_px,aspect,angle_deg,center_x_roi,center_y_roi,dense_x_roi,dense_y_roi,center_x_img,center_y_img,dense_x_img,dense_y_img
E12,4,11,308.5,32.73519992828369,39.2113037109375,26.259096145629883,1.4932465113603373,91.6358413696289,614,195,627,200,614,195,627,200
F1,5,0,259.5,26.53386878967285,29.609188079833984,23.45854949951172,1.2621917685255983,70.9448013305664,14,240,23,243,14,240,23,243
F2,5,1,288.5,27.363765716552734,29.81985855102539,24.907672882080078,1.1972157612716763,78.80551147460938,64,236,69,242,64,236,69,242
F3,5,2,426.0,27.81357192993164,30.409687042236328,25.217456817626953,1.2058982498576152,96.5304946899414,119,239,125,240,119,239,125,240
F4,5,3,736.5,31.10343647003174,34.646846771240234,27.560026168823242,1.2571412871310632,92.36083221435547,176,236,172,237,176,236,172,237
F5,5,4,314.5,28.31843090057373,30.942523956298828,25.694337844848633,1.2042545771422706,90.98738861083984,229,238,226,239,229,238,226,239
F6,5,5,228.5,30.54734230041504,34.37815475463867,26.716529846191406,1.2867747028733028,95.2876968383789,282,237,286,245,282,237,286,245
F7,5,6,446.0,30.28774642944336,33.336814880371094,27.238677978515625,1.2238778587810077,81.94731140136719,338,238,340,247,338,238,340,247
F8,5,7,740.0,31.20203971862793,34.13999557495117,28.264083862304688,1.207893230902951,88.8235855102539,393,236,387,237,393,236,387,237
F9,5,8,200.5,23.084333419799805,25.365596771240234,20.803070068359375,1.2193198738401732,171.12669372558594,453,239,459,238,453,239,459,238
F10,5,9,310.5,29.46255111694336,33.2491455078125,25.67595672607422,1.2949525450028363,95.09728240966797,497,237,505,245,497,237,505,245
F11,5,10,640.5,30.215020179748535,31.671905517578125,28.758134841918945,1.101319876677536,99.12669372558594,556,238,552,245,556,238,552,245
F12,5,11,440.0,28.441987991333008,32.95328903198242,23.930686950683594,1.3770306343437873,94.26777648925781,618,240,623,241,618,240,623,241
G1,6,0,301.5,22.716771125793457,26.236539840698242,19.197002410888672,1.3666998252715068,32.35886001586914,19,278,22,276,19,278,22,276
G2,6,1,320.5,26.237873077392578,30.866825103759766,21.60892105102539,1.4284297226536014,73.44808197021484,66,277,71,278,66,277,71,278
G3,6,2,382.0,28.172497749328613,32.78475570678711,23.560239791870117,1.391528948618769,95.77190399169922,121,277,119,284,121,277,119,284
G4,6,3,331.5,26.507044792175293,30.76321792602539,22.250871658325195,1.3825623732145023,86.1482925415039,176,277,169,279,176,277,169,279
G5,6,4,515.5,26.967594146728516,29.301212310791016,24.633975982666016,1.1894633790099152,52.845458984375,227,279,226,281,227,279,226,281
G6,6,5,573.0,27.8222713470459,32.5844841003418,23.06005859375,1.4130269430092954,82.97557067871094,284,277,286,280,284,277,286,280
G7,6,6,399.5,28.626808166503906,32.52744674682617,24.72616958618164,1.3155069018455783,60.316261291503906,339,280,341,287,339,280,341,287
G8,6,7,379.5,26.670477867126465,33.81291198730469,19.528043746948242,1.7315053379368235,63.6567497253418,393,279,392,283,393,279,392,283
G9,6,8,525.0,28.123533248901367,31.398164749145508,24.848901748657227,1.263563479252848,57.594017028808594,446,277,445,279,446,277,445,279
G10,6,9,507.5,29.346355438232422,33.945213317871094,24.74749755859375,1.371662457486873,69.0024185180664,501,279,503,283,501,279,503,283
G11,6,10,357.5,27.611702919006348,31.459049224853516,23.76435661315918,1.3237913290458496,90.01636505126953,554,277,563,275,554,277,563,275
G12,6,11,311.0,26.547466278076172,32.577735900878906,20.517196655273438,1.58782588324539,60.660621643066406,617,278,613,284,617,278,613,284
H1,7,0,227.5,28.838129997253418,30.830585479736328,26.845674514770508,1.1484377292428738,72.58885955810547,18,322,27,315,18,322,27,315
H2,7,1,256.0,28.704147338867188,29.60304069519043,27.805253982543945,1.0646563672381892,29.197481155395508,67,321,66,309,67,321,66,309
H3,7,2,236.0,26.42058563232422,29.963092803955078,22.87807846069336,1.3096857262481385,97.71080780029297,121,321,121,326,121,321,121,326
H4,7,3,210.5,29.69057559967041,30.739046096801758,28.642105102539062,1.0732118322572877,124.28458404541016,177,322,173,310,177,322,173,310
H5,7,4,240.0,25.32951068878174,27.558732986450195,23.10028839111328,1.1930038499888203,37.71870803833008,231,321,237,316,231,321,237,316
H6,7,5,216.0,27.54762363433838,29.54451560974121,25.550731658935547,1.1563080073054959,70.04900360107422,283,321,282,311,283,321,282,311
H7,7,6,222.5,25.310630798339844,28.502504348754883,22.118757247924805,1.2886123767839175,134.36141967773438,340,321,337,313,340,321,337,313
H8,7,7,244.0,26.705713272094727,28.294038772583008,25.117387771606445,1.126472188503916,134.4051971435547,394,321,397,314,394,321,397,314
H9,7,8,195.5,26.59248161315918,28.1304988861084,25.05446434020996,1.1227739098361684,37.7147331237793,448,322,458,319,448,322,458,319
H10,7,9,180.5,32.34789752960205,34.804073333740234,29.891721725463867,1.1643381954841256,75.2967300415039,498,321,510,325,498,321,510,325
H11,7,10,278.5,24.419297218322754,29.19394874572754,19.64464569091797,1.486102076110457,100.71974182128906,557,318,558,315,557,318,558,315
H12,7,11,229.5,30.39885139465332,34.02970886230469,26.767993927001953,1.2712834945758693,82.70347595214844,615,323,622,316,615,323,622,316
